sample,samplename,timepoint
sample-1,5240 AD,T0
sample-10,6201 AG,T0
sample-11,6249 AG,T0
sample-13,4252 AD,T0
sample-14,6221 AG,T0
sample-16,4251 AG,T0
sample-18,4330 AD,T0
sample-20,5303 AD1,T0
sample-22,5250 AD,T0
sample-23,6261 AD,T0
sample-27,4252 AG,T0
sample-3,7249 AG,T0
sample-4,4251 AD,T0
sample-6,4287 AG,T0
sample-7,6201 AG,T0
sample-9,5240 AD,T0
sample-12,4330 AD2,T1
sample-15,6201 AG2,T1
sample-21,4251 AG2,T1
sample-25,6249 AG2,T1
sample-26,6201 AG2,T1
sample-29,4251 AG2,T1
sample-32,5303 AD2,T1
sample-5,6221 AG2,T1
sample-80,4251 ARD,T2
sample-81,4251 AG,T2
sample-82,6221 ARG,T2
sample-84,6201 AG,T2
sample-85,6201 ARG,T2
sample-86,6249 AG,T2
sample-87,4330 ARD,T2
sample-91,5303 ARD,T2
