level,taxa,p.value,T0,T1,T2
phylum,Thaumarchaeota,7.85260056986055e-06,0.000119308729354304,2.29852054421872e-05,0.00100500534807783
phylum,Planctomycetes,7.12864476254582e-05,0.000656338552139443,0.00049224605623741,0.00644708847865865
phylum,Chloroflexi,0.000179450238570698,0.0026115062888205,0.0017373393035336,0.00822067812557114
phylum,Acidobacteria,0.000299198850378688,0.00120399074803247,0.00162905792048998,0.00527644971616797
phylum,Patescibacteria,0.000420996385876031,0.0110565060208872,0.00984005274041997,0.00356084580070255
phylum,Proteobacteria,0.000676087918627008,0.0383095625771428,0.0650967946502991,0.106737427472285
phylum,Kiritimatiellaeota,0.00209185265900048,0.000455557573601364,0.000764588542885723,0.00154080509876799
phylum,FBP,0.00730986324783473,0.000244591125369593,0.000207461703380268,0.00385966293651752
phylum,Actinobacteria,0.0258625670687683,0.065532635377707,0.0835997614100129,0.123063317520859
phylum,Fibrobacteres,0.0293297081306805,0.00017872924727429,8.7565777136416e-05,0.00261380762989099
phylum,Excavata,0.0395347042858144,1.10356589362279e-05,7.46341812104143e-05,0.000117742293603051
